行政區,地址,樓層,型態,主要用途,房間,客廳,衛浴,有無傢俱,租金,車位類別,備註,出租型態,有無管理員,有無電梯,附屬設備
西屯區,臺中市西屯區國安一路２０８巷３０之２號,一層,住宅大樓(11層含以上有電梯),集合住宅,4,2,2,有,17000,,國家住宅及都市更新中心辦理社會住宅包租代管計畫。未租賃車位，建物登記含有車位面積；續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西屯區,臺中市西屯區甘州五街２３之４號,五層,公寓(5樓含以下無電梯),住家用,6,0,6,有,8300,,租金總額含水費；網路費；其他第四台；,分租套房,無,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路
西屯區,臺中市西屯區甘州五街２３之４號,五層,公寓(5樓含以下無電梯),住家用,6,0,6,有,8400,,租金總額含水費；網路費；其他第四台；,分租套房,無,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路
西屯區,臺中市西屯區文心路二段５６６之１６號９樓之１,九層,住宅大樓(11層含以上有電梯),住家用,3,1,1,有,30000,坡道平面,續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西屯區,臺中市西屯區甘州五街２３之４號,五層,公寓(5樓含以下無電梯),住家用,6,0,6,有,8300,,租金總額含水費；網路費；其他第四台；,分租套房,無,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路
西屯區,臺中市西屯區文心路三段６號八樓之３,八層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,18800,坡道平面,其他清潔保養費；續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
西屯區,臺中市西屯區至善路１２２號十樓之７,十層,住宅大樓(11層含以上有電梯),住家用,2,2,2,有,13800,,社會住宅包租代管公會版41期29續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
南屯區,臺中市南屯區五權西路二段１１１８號,見其他登記事項,店面(店鋪),機械室、電梯間、樓梯間、停車空間、機械停車升降道、辦公室、住宅、門廳、水箱。,7,6,5,無,300000,,租金總額含稅；含增建或未登記建物；,,無,有,冷氣
西屯區,臺中市西屯區福聯街２２巷１２號９樓之４８,九層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,8500,,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
西屯區,臺中市西屯區逢甲路７５巷２８號４樓之６,四層,華廈(10層含以下有電梯),住家用,3,2,1,有,18581,,多人共同承租2；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
