行政區,地址,樓層,型態,主要用途,房間,客廳,衛浴,有無傢俱,租金,車位類別,備註,出租型態,有無管理員,有無電梯,附屬設備
北區,臺中市北區西屯路一段２４８號,全,透天厝,住商用,9,3,9,有,15000,,多人共同承租2；租金總額含水費；網路費；含增建或未登記建物；,分租套房,無,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路
北屯區,臺中市北屯區文心路四段６７２號２３樓之９,二十三層,住宅大樓(11層含以上有電梯),住家用,1,0,1,有,8000,,社會住宅包租代管公會版41期820,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
北區,臺中市北區三民路三段２０３號６樓之４,六層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,9400,,,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
北區,臺中市北區三民路三段２０３號１０樓之２,十層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,7400,,,獨立套房,有,有,冷氣、熱水器、洗衣機、冰箱
北屯區,臺中市北屯區文心路四段６７２號１４樓之２２,十四層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,9000,,,獨立套房,有,有,冷氣、熱水器、電視機、冰箱
北區,臺中市北區三民路三段１１８之５號,四層,公寓(5樓含以下無電梯),住家用,5,0,5,有,6500,,,分租套房,無,無,冷氣、熱水器、電視機、冰箱
西屯區,臺中市西屯區西屯路二段上石南六巷６之４號,三層,公寓(5樓含以下無電梯),住家用,1,0,1,有,8500,,社會住宅包租代管公會版41期816合約不足一年,獨立套房,無,無,冷氣、熱水器、洗衣機、電視機、冰箱
西屯區,臺中市西屯區黎明路三段３１６號九樓之６,九層,住宅大樓(11層含以上有電梯),住家用,1,0,1,有,6500,,社會住宅包租代管公會版41期817,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、網路
西屯區,臺中市西屯區青海路二段４３８號５樓之５,五層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,26000,坡道平面,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣
南屯區,臺中市南屯區忠勇路２３-２５號９樓,九層,華廈(10層含以下有電梯),住家用,42,0,42,有,5500,,租金總額含水費；網路費；,分租套房,有,有,冷氣、熱水器、電視機、冰箱、網路
西屯區,臺中市西屯區西屯路二段２０８巷１６之９號二樓之７,二層,華廈(10層含以下有電梯),集合住宅,1,0,1,有,8500,,社會住宅包租代管公會版4期99-2租金總額含網路費；其他第四台；續租案件；,獨立套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路
西屯區,臺中市西屯區長安路二段６２-５號,全,透天厝,人行步道、店鋪、停車空間、樓梯間、機房、住宅,9,9,9,有,15000,,租金總額含水費；瓦斯費；網路費；含增建或未登記建物；,分租套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路
南屯區,臺中市南屯區益文三街７８號,全,透天厝,店鋪、停車空間、外廊、辦公室、住宅、樓梯間,0,0,0,無,250000,,租金總額含稅；,,無,有,
西屯區,臺中市西屯區國安一路１２９號１２樓之７,十二層,住宅大樓(11層含以上有電梯),住家用,2,2,1,有,18400,,多人共同承租2；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
南屯區,臺中市南屯區保安二街２６５號２樓,二層,住宅大樓(11層含以上有電梯),住家用,4,2,2,有,26000,坡道平面,租金總額含管理費；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
西屯區,臺中市西屯區崇義街６之５號二樓之３,二層,華廈(10層含以下有電梯),住家用,1,1,1,有,6500,,,獨立套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱
